,0
259,1.2118185
260,1.2270799
261,1.22455
262,1.2054362
263,1.1795359
264,1.1505092
265,1.1598294
266,1.1168879
267,1.1119092
268,1.1365812
269,1.1091857
270,1.1430745
271,1.1086977
272,1.1285253
273,1.1630119
274,1.1851592
275,1.1651955
276,1.1679134
277,1.1529648
278,1.156284
279,1.1638869
280,1.157372
281,1.1278629
282,1.1495577
283,1.1352403
284,1.108234
285,1.090642
286,1.0993719
287,1.1248635
288,1.1550586
289,1.1742162
290,1.1596696
291,1.179151
292,1.2048945
293,1.2043014
294,1.1963195
295,1.2074451
296,1.1661613
297,1.1271062
298,1.1644868
299,1.1442308
300,1.1428132
301,1.1479651
302,1.111212
303,1.1416726
304,1.178232
305,1.1511424
306,1.141068
307,1.1371909
308,1.1652584
309,1.2117956
310,1.1814606
311,1.154357
312,1.1682609
313,1.1527222
314,1.1220946
315,1.1434525
316,1.115846
317,1.1280133
318,1.130261
319,1.1527723
320,1.1950774
321,1.1928473
322,1.1862435
323,1.1968851
324,1.2125337
325,1.1959555
326,1.2065957
327,1.1934786
328,1.1743791
329,1.150316
330,1.1367543
331,1.1145561
332,1.1392155
333,1.1197724
334,1.1064055
335,1.1312891
336,1.1538935
337,1.1241895
338,1.1439362
339,1.1414075
340,1.1642714
341,1.1919754
342,1.1661946
343,1.1842777
344,1.1830698
345,1.1599708
346,1.1802709
347,1.1711088
348,1.1572024
349,1.179352
350,1.1284077
351,1.1634214
352,1.1377887
353,1.1756623
354,1.1561768
355,1.1743033
356,1.1664921
357,1.1489167
358,1.1654123
359,1.1325734
360,1.1637163
361,1.1614585
362,1.1368277
363,1.128009
364,1.1375805
365,1.1214147
366,1.1519215
367,1.1376672
368,1.1488804
369,1.1869165
370,1.1800377
371,1.1888582
372,1.1870772
373,1.1672021
374,1.1465802
375,1.1458879
376,1.1285701
377,1.1274347
378,1.1309317
379,1.125277
380,1.1485299
381,1.171562
382,1.1649897
383,1.1891899
384,1.2087979
385,1.1998076
386,1.1617409
387,1.1899388
388,1.1525868
389,1.1633191
390,1.1484972
391,1.149041
392,1.1370604
393,1.1257348
394,1.1579974
395,1.1205181
396,1.1380489
397,1.1529709
398,1.1313928
399,1.1982017
400,1.2132602
401,1.1798321
402,1.1955614
403,1.2019646
404,1.2085732
405,1.1694808
406,1.1555626
407,1.1349659
408,1.1023299
409,1.1008083
410,1.1333666
411,1.1260183
412,1.1369753
413,1.1695135
414,1.1953114
415,1.1943854
416,1.211714
417,1.1986754
418,1.1918405
419,1.2439606
420,1.1545631
421,1.130548
422,1.1399891
423,1.1732848
424,1.1618272
425,1.1819668
426,1.1569341
427,1.1884258
428,1.1954936
429,1.1491778
430,1.1532207
431,1.1145917
432,1.11586
433,1.1395723
434,1.1215559
435,1.1102251
436,1.1273155
437,1.1120976
438,1.1374077
439,1.1455388
440,1.1623747
441,1.1663594
442,1.1778073
443,1.2021395
444,1.2103931
445,1.2082474
446,1.188108
447,1.2174177
448,1.2094116
449,1.1403397
450,1.1718278
451,1.1383879
452,1.1348199
453,1.1395481
454,1.1356311
455,1.1186298
456,1.1297369
457,1.1627424
458,1.1561457
459,1.169466
460,1.1720402
461,1.1963279
462,1.1871376
463,1.2107232
464,1.1984836
465,1.1842598
466,1.1668631
467,1.1860497
468,1.188999
469,1.1915672
470,1.1611346
471,1.1379869
472,1.1630193
473,1.1833743
474,1.1821594
475,1.1290495
476,1.1800032
477,1.2139847
478,1.204512
479,1.1814042
480,1.1953084
481,1.2009242
482,1.1860214
483,1.1791914
484,1.148411
485,1.1830928
486,1.1707647
487,1.1681519
488,1.1351185
489,1.1568191
490,1.1625937
491,1.1421835
492,1.1567216
493,1.1816914
494,1.164576
495,1.1834931
496,1.1892741
497,1.1714942
498,1.2165387
499,1.1547415
500,1.1765331
501,1.2825564
502,1.5257909
503,1.7771093
504,2.145851
505,2.492233
506,2.734691
507,2.862861
508,2.7356257
509,2.3971028
510,2.2446785
511,2.0537102
512,1.8692822
513,1.9029636
514,1.7760592
515,1.7713144
516,1.821136
517,1.9219203
518,2.0756786
519,2.1008945
520,2.0977182
521,2.2502255
522,2.333117
523,2.389422
524,2.4043067
525,2.3997583
526,2.3565884
527,2.3195453
528,2.1794143
529,2.1486125
530,2.0599859
531,2.0537884
532,2.0137413
533,1.9323361
534,1.9894775
535,2.0174236
536,2.0528936
537,2.0999787
538,2.1627827
539,2.2091978
540,2.2470956
541,2.2523496
542,2.2018673
543,2.1894855
544,2.1550343
545,2.2194448
546,2.1632009
547,2.136439
548,2.170295
549,2.1663716
550,2.1176944
551,2.062758
552,2.098094
553,2.1188207
554,2.1241965
555,2.135417
556,2.1837404
557,2.2012901
558,2.1556172
559,2.1735785
560,2.2085037
561,2.2204552
562,2.2467918
563,2.2223692
564,2.184281
565,2.1770294
566,2.1585996
567,2.1114492
568,2.1408262
569,2.094564
570,2.1053433
571,2.1168747
572,2.1240113
573,2.1973524
574,2.18636
575,2.146505
576,2.1901767
577,2.188025
578,2.2111201
579,2.2056088
580,2.185027
581,2.148835
582,2.1343532
583,2.136448
584,2.140382
585,2.1476517
586,2.1465964
587,2.1502001
588,2.1919632
589,2.1620064
590,2.1473358
591,2.1595979
592,2.1120524
593,2.1570508
594,2.227891
595,2.185554
596,2.2201302
597,2.191507
598,2.2141547
599,2.2354748
600,2.2006855
601,2.1804242
602,2.1527019
603,2.1528807
604,2.1496186
605,2.067902
606,2.110034
607,2.1153622
608,2.1368008
609,2.1353755
610,2.1677256
611,2.1366718
612,2.1786144
613,2.1826725
614,2.173955
615,2.173665
616,2.1823335
617,2.1469293
618,2.1454601
619,2.1414714
620,2.1396894
621,2.1388044
622,2.171409
623,2.1943464
624,2.1540906
625,2.1647744
626,2.165832
627,2.0978613
628,2.1735897
629,2.1836538
630,2.2021694
631,2.229216
632,2.2275853
633,2.2693326
634,2.2130013
635,2.1661057
636,2.1306572
637,2.0441666
638,2.0920649
639,2.048481
640,2.0623994
641,2.0836883
642,2.1104193
643,2.1449137
644,2.1763074
645,2.2161636
646,2.2581346
647,2.2470717
648,2.265267
649,2.1948853
650,2.1713908
651,2.1023831
652,2.12183
653,2.0841181
654,2.0927272
655,2.1374562
656,2.148744
657,2.1875901
658,2.219293
659,2.21807
660,2.1733494
661,2.2066898
662,2.14005
663,2.104166
664,2.104912
665,2.1467087
666,2.0626326
667,2.0651405
668,2.149938
669,2.187202
670,2.1917481
671,2.1532722
672,2.1989212
673,2.169912
674,2.1349058
675,2.0899606
676,2.033505
677,2.1089268
678,2.0418992
679,2.1089125
680,2.1033282
681,2.0961373
682,2.1188962
683,2.156914
684,2.1963515
685,2.186798
686,2.2024627
687,2.1741776
688,2.1747503
689,2.189919
690,2.1955066
691,2.1807585
692,2.1553156
693,2.1669126
694,2.111999
695,2.0821636
696,2.0529377
697,2.0922513
698,2.0307064
699,2.1383743
700,2.1699338
701,2.2695732
702,2.153821
703,2.1834674
704,2.246583
705,2.2586432
706,2.2630844
707,2.225953
708,2.1663105
709,2.1740458
710,2.2013683
711,2.1327488
712,2.1678755
713,2.1169271
714,2.1256332
715,2.1432724
716,2.141552
717,2.187456
718,2.1778383
719,2.2243128
720,2.204474
721,2.182128
722,2.1585078
723,2.1438954
724,2.1014168
725,2.0811625
726,2.109995
727,2.0405314
728,2.062036
729,2.1691034
730,2.1858218
731,2.2252462
732,2.2351065
733,2.2409444
734,2.1774585
735,2.1457963
736,2.052333
737,2.0718358
738,2.1012757
739,1.9803452
740,2.1164508
741,2.111854
742,2.1397293
743,2.1958754
744,2.2088645
745,2.176579
746,2.1994977
747,2.1638181
748,2.2117984
749,2.1883702
750,2.191451
751,2.1898825
752,2.199521
753,2.1609163
754,2.2015946
755,2.2220392
756,2.1785336
757,2.2155766
758,2.2119155
759,2.1766768
760,2.1933734
761,2.1870527
762,2.1590166
763,2.1524625
764,2.102963
765,2.0970407
766,2.0632954
767,2.1313405
768,2.3033795
769,2.2679048
770,2.296274
771,2.2222524
772,2.1799161
773,2.1227736
774,2.1022322
775,2.0727968
776,2.0562458
777,2.059701
778,2.0840812
779,2.1462474
780,2.214029
781,2.1857855
782,2.3003168
783,2.2316024
784,2.228177
785,2.2072022
786,2.1481853
787,2.1240442
788,2.0984416
789,2.0935142
790,2.0808918
791,2.1240478
792,2.0881271
793,2.1463761
794,2.1959271
795,2.2212021
796,2.2685888
797,2.2885602
798,2.2854047
799,2.2299998
800,2.1943972
801,2.1263478
802,2.1299891
803,2.1313438
804,2.087245
805,2.117485
806,2.0961664
807,2.1363158
