,0
187,43.0
188,17.0
189,48.0
190,18.0
191,58.0
192,81.0
193,74.0
194,10.0
195,48.0
196,75.0
197,108.0
198,33.0
199,101.0
200,72.0
201,110.0
202,200.0
203,200.0
204,75.0
205,104.0
206,49.0
207,89.0
208,63.0
209,66.0
210,19.0
211,29.0
212,92.0
213,36.0
214,21.0
215,100.0
216,52.0
217,27.0
218,63.0
219,92.0
220,107.0
221,117.0
222,68.0
223,106.0
224,127.0
225,115.0
226,179.0
227,77.0
228,124.0
229,182.0
230,172.0
231,89.0
232,96.0
233,122.0
234,91.0
235,94.0
236,92.0
237,91.0
238,97.0
239,103.0
240,95.0
241,91.0
242,88.0
243,75.0
244,97.0
245,53.0
246,93.0
247,99.0
248,102.0
249,98.0
250,100.0
251,96.0
252,116.0
253,126.0
254,119.0
255,124.0
256,134.0
257,137.0
258,135.0
259,134.0
260,165.0
261,134.0
262,137.0
263,120.0
264,105.0
265,115.0
266,115.0
267,109.0
268,123.0
269,127.0
270,118.0
271,134.0
272,196.0
273,200.0
274,164.0
275,155.0
276,140.0
277,143.0
278,112.0
279,119.0
280,123.0
281,114.0
282,136.0
283,156.0
284,134.0
285,140.0
286,123.0
287,146.0
288,134.0
289,114.0
290,24.0
291,123.0
292,162.0
293,135.0
294,200.0
295,42.0
296,200.0
297,200.0
298,39.0
299,200.0
300,158.0
301,117.0
302,137.0
303,124.0
304,115.0
305,200.0
306,200.0
307,200.0
308,200.0
309,200.0
310,200.0
311,200.0
312,200.0
313,200.0
314,200.0
315,135.0
316,117.0
317,110.0
318,154.0
319,104.0
320,117.0
321,126.0
322,118.0
323,157.0
324,200.0
325,144.0
326,113.0
327,164.0
328,169.0
329,113.0
330,182.0
331,200.0
332,136.0
333,115.0
334,116.0
335,115.0
336,118.0
337,105.0
338,105.0
339,110.0
340,106.0
341,110.0
342,123.0
343,106.0
344,111.0
345,123.0
346,117.0
347,105.0
348,120.0
349,107.0
350,200.0
351,200.0
352,200.0
353,200.0
354,200.0
355,200.0
356,200.0
357,200.0
358,200.0
359,177.0
360,200.0
361,200.0
362,200.0
363,200.0
364,200.0
365,200.0
366,200.0
367,200.0
368,192.0
369,199.0
370,152.0
371,103.0
372,97.0
373,108.0
374,116.0
375,103.0
376,117.0
377,99.0
378,92.0
379,95.0
380,38.0
381,39.0
382,84.0
383,56.0
384,53.0
385,43.0
386,32.0
387,44.0
388,33.0
389,95.0
390,122.0
391,140.0
392,142.0
393,107.0
394,93.0
395,95.0
396,100.0
397,101.0
398,102.0
399,99.0
400,98.0
401,97.0
402,105.0
403,16.0
404,90.0
405,93.0
406,91.0
407,91.0
408,40.0
409,95.0
410,93.0
411,100.0
412,26.0
413,30.0
414,90.0
415,96.0
416,24.0
417,94.0
418,91.0
419,92.0
420,92.0
421,93.0
422,96.0
423,98.0
424,12.0
425,98.0
426,93.0
427,90.0
428,91.0
429,109.0
430,101.0
431,97.0
432,104.0
433,107.0
434,113.0
435,113.0
436,129.0
437,120.0
438,122.0
439,114.0
440,125.0
441,103.0
442,112.0
443,109.0
444,110.0
445,110.0
446,102.0
447,109.0
448,122.0
449,121.0
450,125.0
451,120.0
452,127.0
453,132.0
454,134.0
455,138.0
456,153.0
457,173.0
458,177.0
459,200.0
460,200.0
461,200.0
462,200.0
463,200.0
464,200.0
465,200.0
466,154.0
467,200.0
468,200.0
469,200.0
470,200.0
471,128.0
472,158.0
473,200.0
474,141.0
475,145.0
476,200.0
477,126.0
478,32.0
479,26.0
480,200.0
481,172.0
482,200.0
483,200.0
484,200.0
485,200.0
486,200.0
487,163.0
488,102.0
489,97.0
490,117.0
491,106.0
492,131.0
493,123.0
494,107.0
495,114.0
496,115.0
497,93.0
498,119.0
499,97.0
500,131.0
501,102.0
502,112.0
503,97.0
504,81.0
505,200.0
506,39.0
507,200.0
508,200.0
509,200.0
510,200.0
511,200.0
512,200.0
513,200.0
514,200.0
515,200.0
516,200.0
517,200.0
518,200.0
519,200.0
520,200.0
521,200.0
522,67.0
523,200.0
524,200.0
525,200.0
526,200.0
527,200.0
528,200.0
529,200.0
530,200.0
531,200.0
532,200.0
533,200.0
534,200.0
535,200.0
536,200.0
537,200.0
538,200.0
539,200.0
540,200.0
541,200.0
542,200.0
543,200.0
544,200.0
545,200.0
546,200.0
547,129.0
548,200.0
549,200.0
550,200.0
551,200.0
552,200.0
553,200.0
554,131.0
555,200.0
556,200.0
557,200.0
558,200.0
559,200.0
560,200.0
561,200.0
562,200.0
563,200.0
564,52.0
565,200.0
566,200.0
567,200.0
568,200.0
569,200.0
570,200.0
571,200.0
572,200.0
573,200.0
574,200.0
575,200.0
576,200.0
577,200.0
578,200.0
579,200.0
580,200.0
581,200.0
582,200.0
583,200.0
584,200.0
585,200.0
586,200.0
587,200.0
588,200.0
589,200.0
590,200.0
591,200.0
592,200.0
593,200.0
594,200.0
595,200.0
596,200.0
597,200.0
598,200.0
599,200.0
600,200.0
601,200.0
602,200.0
603,200.0
604,200.0
605,200.0
606,200.0
607,200.0
608,200.0
609,200.0
610,200.0
611,200.0
612,200.0
613,200.0
614,60.0
615,200.0
616,200.0
617,167.0
618,187.0
619,200.0
620,200.0
621,200.0
622,20.0
623,30.0
624,200.0
625,200.0
626,200.0
627,200.0
628,200.0
629,200.0
630,139.0
631,200.0
632,200.0
633,76.0
